akronim,fraza polska,fraza obca,język,hasło_wikipedia
LV,Białaczka kotów to choroba zakaźna,feline leukemia virus,ang,Bia%C5%82aczka_kot%C3%B3w
MERS,Bliskowschodni zespół oddechowy,ang,od,Bliskowschodni_zesp%C3%B3%C5%82_oddechowy
brak,Brodawczaki krtani ,laryngeal papillomatosis,ang,Brodawczaki_krtani
brak,Chikungunya ,brak,wymawiane,Chikungunya
brak,Choroba bornajska ,Polioencephalomyelitis enzootica equorum,łac,Choroba_bornajska
brak,Choroba Derzsyego ,brak,wym,Choroba_Derzsyego
HFMD,Choroba dłoni,hand,ang,"Choroba_d%C5%82oni,_st%C3%B3p_i_jamy_ustnej"
HPV,Choroba Hecka ,hyperplasia epithelialis mucosae oris,łac,Choroba_Hecka
brak,Choroba Heinego,poliomyelitis anterior acuta,łac,Choroba_Heinego-Medina
brak,Choroba lasu Kyasanur ,Kyasanur forest disease,ang,Choroba_lasu_Kyasanur
MSD,Choroba marmurkowatej śledziony bażantów,brak,MSD,Choroba_marmurkowatej_%C5%9Bledziony_ba%C5%BCant%C3%B3w
brak,Choroba skokowa owiec ,Encephalomyelitis ovis,łac,Choroba_skokowa_owiec
CMV,Choroba wtrętowa ,brak,brak,Choroba_wtr%C4%99towa
CMV,Cytomegalowirus ,brak,CMV,Cytomegalowirus
brak,Denga ,brak,brak,Denga
AIDS,Encefalopatia AIDS,AIDS dementia complex ,ang,Encefalopatia_AIDS
RVF,Gorączka doliny Rift ,brak,RVF,Gor%C4%85czka_doliny_Rift
brak,Gorączka Lassa ,dekadę,ponad,Gor%C4%85czka_Lassa
brak,Gorączka O,brak,O,Gor%C4%85czka_O%27nyong-nyong
brak,Gorączka Oropouche ,brak,brak,Gor%C4%85czka_Oropouche
brak,Hantawirusowy zespół płucny ,Hantavirus pulmonary syndrome,ang,Hantawirusowy_zesp%C3%B3%C5%82_p%C5%82ucny
brak,Jaagsiekte,brak,brak,Jaagsiekte
JE,Japońskie zapalenie mózgu ,Japanese encephalitis,ang,Japo%C5%84skie_zapalenie_m%C3%B3zgu
brak,Kleszczowe zapalenie mózgu ,encephalitis ixodica,łac,Kleszczowe_zapalenie_m%C3%B3zgu
brak,Księgosusz lub pomór bydła ,Typhus bovum contagiosus,łac,Ksi%C4%99gosusz
LCM,Limfocytarne zapalenie splotu naczyniówkowego i opon mózgowych ,choriomeningitis lymphocytica,łac,Limfocytarne_zapalenie_splotu_naczyni%C3%B3wkowego_i_opon_m%C3%B3zgowych
HHV,Łupież różowy Giberta ,pityriasis rosea Gibert,łac,%C5%81upie%C5%BC_r%C3%B3%C5%BCowy_Giberta
DNA,Mięczak zakaźny ,molluscum contagiosum,łac,Mi%C4%99czak_zaka%C5%BAny
EBV,Mononukleoza zakaźna ,Mononucleosis infectiosa,łac,Mononukleoza_zaka%C5%BAna
brak,Nagminna pleurodynia ,choroba bornholmska,inaczej,Nagminna_pleurodynia
brak,Nagminne zapalenie przyusznic,parotitis epidemica,łac,Nagminne_zapalenie_przyusznic
brak,Nosówka ,Febris catarrhalis et nervosa canum lub Febris catarrhalis infectiosa canum,łac,Nos%C3%B3wka
brak,Objaw Glanzmana ,brak,brak,Objaw_Glanzmana
brak,Odra ,morbilli,łac,Odra_(choroba)
HSE,Opryszczkowe zapalenie mózgu ,Herpes simplex encephalitis,ang,Opryszczkowe_zapalenie_m%C3%B3zgu
brak,Ospa małpia ,monkeypox,ang,Ospa_ma%C5%82pia
brak,Ospa prawdziwa ,variola vera,łac,Ospa_prawdziwa
VZV,Ospa wietrzna ,varicella,łac,Ospa_wietrzna
brak,Pappataci ,brak,brak,Pappataci
brak,Choroba Derzsyego ,brak,wym,Parwowiroza_g%C4%99si
brak,Plamki Koplika ,maculae Koplik,łac,Plamki_Koplika
PML,Postępująca leukoencefalopatia wieloogniskowa ,progressive multifocal leukoencephalopathy,ang,Post%C4%99puj%C4%85ca_leukoencefalopatia_wieloogniskowa
brak,Półpasiec ,herpes zoster,łac,P%C3%B3%C5%82pasiec
brak,Półpasiec oczny ,zoster ophthalmicus,łac,P%C3%B3%C5%82pasiec_oczny
FMD,Pryszczyca ,brak,afoza,Pryszczyca
brak,Przeziębienie ,także jako choroba przeziębieniowa,znane,Przezi%C4%99bienie
II,Zespół Ramsaya Hunta ,Ramsay Hunt syndrome type II,ang,Zesp%C3%B3%C5%82_Ramsaya_Hunta
brak,Różyczka ,rubella,łac,R%C3%B3%C5%BCyczka
HHV,Rumień nagły ,trzydniowa,gorączka,Rumie%C5%84_nag%C5%82y
brak,Rumień zakaźny ,piąta,choroba,Rumie%C5%84_zaka%C5%BAny
SARS,SARS ,ang,od,SARS
TSP,Tropikalna spastyczna parapareza ,tropical spastic paraparesis,ang,Tropikalna_spastyczna_parapareza
CBPV,Wirus chronicznego paraliżu pszczół ,Chronic bee paralysis virus ,ang,Wirus_chronicznego_parali%C5%BCu_pszcz%C3%B3%C5%82
brak,Wirus Hendra ,brak,HeV,Wirus_Hendra
brak,Wirus Nipah ,brak,brak,Wirus_Nipah
ABPV,Wirus ostrego paraliżu pszczół ,Acute bee paralysis virus ,ang,Wirus_ostrego_parali%C5%BCu_pszcz%C3%B3%C5%82
DWV,Wirus zdeformowanych skrzydeł ,Deformed wing virus ,ang,Wirus_zdeformowanych_skrzyde%C5%82
SBV,Wirus ze Schmallenbergu ,brak,SBV,Wirus_ze_Schmallenbergu
brak,Wirusowe zapalenie stawów ,arthritis viralis,łac,Wirusowe_zapalenie_staw%C3%B3w
EVA,Wirusowe zapalenie tętnic koni ,Viral Arteritis,Equine,Wirusowe_zapalenie_t%C4%99tnic_koni
WHO,Wścieklizna ,rabies,łac,W%C5%9Bcieklizna
HSV,Opryszczka zwykła lub opryszczka pospolita,Herpes simplex,łac,Zaka%C5%BCenia_opryszczkowe
HSV,Zanokcica opryszczkowa ,brak,samozakażenie,Zanokcica_opryszczkowa
MVE,Zapalenia mózgu doliny Murray ,brak,MVE,Zapalenia_m%C3%B3zgu_doliny_Murray
ZGC,Zespół Gianottiego,Gianotti,ang,Zesp%C3%B3%C5%82_Gianottiego-Crostiego
HIV,Zespół nabytego niedoboru odporności,ang,od,Zesp%C3%B3%C5%82_nabytego_niedoboru_odporno%C5%9Bci
CRS,Zespół różyczki wrodzonej ,Gregga,zespół,Zesp%C3%B3%C5%82_r%C3%B3%C5%BCyczki_wrodzonej
brak,Żółta gorączka,febris flava,łac,%C5%BB%C3%B3%C5%82ta_gor%C4%85czka
AHF,Argentyńska gorączka krwotoczna ,Argentine Hemorrhagic Fever,ang,Argenty%C5%84ska_gor%C4%85czka_krwotoczna
BHF,Boliwijska gorączka krwotoczna ,Bolivian Hemorrhagic Fever,ang,Boliwijska_gor%C4%85czka_krwotoczna
brak,Brazylijska gorączka krwotoczna ,brak,brak,Brazylijska_gor%C4%85czka_krwotoczna
brak,Choroba wywoływana jest przez wirusa Marburg należącego do filowirusów,brak,brak,Choroba_marburska
EHF,Gorączka krwotoczna Ebola,Ebola hemorrhagic fever,ang,Gor%C4%85czka_krwotoczna_Ebola
brak,Gorączka krwotoczna krymsko,brak,brak,Gor%C4%85czka_krwotoczna_krymsko-kongijska
HFRS,Gorączka krwotoczna z zespołem nerkowym ,febris haemorrhagica cum nephropathia,łac,Gor%C4%85czka_krwotoczna_z_zespo%C5%82em_nerkowym
brak,Gorączka Zachodniego Nilu ,brak,brak,Gor%C4%85czka_Zachodniego_Nilu
XX,Omska gorączka krwotoczna ,Omska,okolice,Omska_gor%C4%85czka_krwotoczna
brak,Wenezuelska gorączka krwotoczna ,brak,brak,Wenezuelska_gor%C4%85czka_krwotoczna
brak,Grypa azjatycka ,brak,brak,Grypa_azjatycka
brak,Grypa końska ,equine influenza,ang,Grypa_ko%C5%84ska
brak,H1N1 ,brak,brak,H1N1
brak,H2N2 ,brak,brak,H2N2
brak,H5N1 ,brak,brak,H5N1
brak,H9N2 ,brak,brak,H9N2
EC,Neuraminidaza ,3,EC,Neuraminidaza
brak,Pandemia grypy A,brak,brak,Pandemia_grypy_A/H1N1_w_latach_2009%E2%80%932010
brak,Pandemia grypy w latach 1918,brak,hiszpanka,Pandemia_grypy_w_latach_1918%E2%80%931919
brak,Przesunięcie antygenowe ,brak,H,Przesuni%C4%99cie_antygenowe
brak,Ptasia grypa,brak,brak,Ptasia_grypa
RNA,Skok antygenowy,antigenic shift,ang,Skok_antygenowy
brak,Szczepionka modelowa ,brak,brak,Szczepionka_modelowa
WHO,Szczepionka prepandemiczna przeciw grypie ,brak,18,Szczepionka_prepandemiczna_przeciw_grypie
brak,Szczepionka przeciw grypie ,i H1N1,H3N2,Szczepionka_przeciw_grypie
brak,Szczepionka przeciw grypie pandemicznej ,szczepionka pandemiczna przeciwko grypie lub szczepionka pandemiczna,syn,Szczepionka_przeciw_grypie_pandemicznej
brak,Świńska grypa ,grypa świń,lub,%C5%9Awi%C5%84ska_grypa
brak,Wirus grypy ,brak,brak,Wirus_grypy
GAE,Akantameboza ,brak,GAE,Akantameboza
brak,Akantocefaloza ,brak,gr,Akantocefaloza
brak,Angiostrongyloza ,canum,angiostrongylosis,Angiostrongyloza
brak,Anisakioza ,anisakiasis,łac,Anisakioza
brak,Ankylostomatoza ,ancylostomiasis,ang,Ankylostomatoza
brak,Arguloza,brak,brak,Arguloza
brak,Babeszjoza,babesiosis,łac,Babeszjoza
brak,Babeszjoza owiec ,Babesiosis ovium,łac,Babeszjoza_owiec
brak,Babeszjoza psów,babesiosis canum,łac,Babeszjoza_ps%C3%B3w
brak,Balantidioza ,brak,brak,Balantidioza
brak,Bąblowica,brak,hydatidoza,B%C4%85blowica
brak,Cheyletielloza ,brak,brak,Cheyletielloza
brak,Choroba Chagasa,tripanosomosis,łac,Choroba_Chagasa
brak,Corridor disease ,brak,brak,Corridor_disease
brak,Cyklosporoza ,brak,Cyclosporosis,Cyklosporoza
DFTD,DFTD ,Devil Facial Tumour Disease,ang,DFTD
brak,Difylobotrioza ,diphyllobothriosis,łac,Difylobotrioza
brak,Drakunkuloza ,dracunculosis,łac,Drakunkuloza
brak,Dżuma racza ,astaci,Aphanomyces,D%C5%BCuma_racza
brak,Encephalitozoonoza,brak,brak,Encephalitozoonoza
brak,Ergasilosa ,brak,brak,Ergasilosa
brak,Fasciolopsoza ,brak,fasciolopsidosis,Fasciolopsoza
brak,Fascjoloza ,fasciolosis,łac,Fascjoloza
brak,Filariozy ,ryb,prócz,Filariozy
brak,Filikoloza ,Filicollosis,łac,Filikoloza
brak,Giardioza,giardiosis,łac,Giardioza
brak,Glistnica ,brak,askarioza,Glistnica
brak,Gnatostomoza ,gnathostomatosis,łac,Gnatostomoza
brak,Gorączka teksaska ,brak,brak,Gor%C4%85czka_teksaska
brak,Gorączka wschodniego wybrzeża Afryki jest to pasożytnicza choroba bydła występująca na wschodnim wybrzeżu Afryki równikowej oraz w środkowej Afryce,brak,brak,Gor%C4%85czka_wschodniego_wybrze%C5%BCa_Afryki
brak,Haemonchus contortus ,brak,przeżuwaczy,Haemonchus_contortus
brak,Helmintoza ,brak,robaczyca,Helmintoza
brak,Hemoglobinuria europejska jest to pasożytnicza choroba bydła w Europie północnej,brak,brak,Hemoglobinuria_europejska
brak,Głównymi objawami są biegunka i kolkowy ból brzucha,brak,brak,Heterophyoza
brak,Bruzdogłowiec szeroki ,latum ,Diphyllobothrium,Historia_bada%C5%84_nad_bruzdog%C5%82owcem_szerokim_i_dyfilobotrioz%C4%85
brak,Hymenolepioza ,brak,hymenolepidoza,Hymenolepioza
AIDS,Izosporoza ,cystoizosporoza,także,Izosporoza
brak,Pasożyty drażniąc ściany przewodów żółciowych powodują rozrost ich nabłonka,brak,brak,Klonorchoza
brak,Kokcydioza bydła Coccidiosis bovum lub Dysenteria coccidiosa bovum ,brak,brak,Kokcydioza_byd%C5%82a
brak,Kokcydioza u królików ,5 miesiąca życia a czynnikami sprzyjającymi są,do,Kokcydioza_kr%C3%B3lik%C3%B3w
brak,Kokcydioza owiec i kóz ,coccidiosis ovium et caporum,łac,Kokcydioza_owiec_i_k%C3%B3z
brak,Kokcydiozy ,brak,bydła,Kokcydiozy
brak,Kostioza,brak,brak,Kostioza
brak,Kryptosporydioza ,ang,łac,Kryptosporydioza
brak,Leiszmanioza ,i ang,łac,Leiszmanioza
brak,Lerneoza ,brak,brak,Lerneoza
brak,Loajoza ,brak,loaoza,Loajoza
brak,Mal de caderas ,brak,brak,Mal_de_caderas
brak,Malaria,brak,śrdw,Malaria
brak,Głównymi objawami są biegunka i kolkowy ból brzucha,brak,serce,Metagonimoza
brak,Muszyca lub larwa wędrująca ,brak,brak,Muszyca
brak,Nagana ,brak,brak,Nagana
PAM,Neglerioza ,naegleriasis,łac,Neglerioza
brak,Nużyca zwana też demodekozą ,Demodecosis,łac,Nu%C5%BCyca
brak,Objaw Romañy ,brak,brak,Objaw_Roma%C3%B1y
brak,Objaw Winterbottoma ,Winterbottom,ang,Objaw_Winterbottoma
brak,Opisthorchis viverrini ,opisthorchiasis,ang,Opisthorchis_viverrini
brak,Owsica,enterobiosis,łac,Owsica
brak,Paragonimus westermani ,brak,Kerbert,Paragonimus_westermani
brak,Pełzakowica,amoebosis,łac,Pe%C5%82zakowica
brak,Plamki Schüffnera,Schüffner dots,ang,Plamki_Sch%C3%BCffnera
brak,Rzekoma teilerioza ,pseudotheileriosis,łac,Rzekoma_teilerioza
brak,Rzęsistkowica ,łac,trychomonadoza,Rz%C4%99sistkowica
brak,Sarkocystoza ,sarcocystosis,łac,Sarkocystoza
brak,Schistosomatoza,schistosomatosis,łac,Schistosomatoza
brak,Słoniowacizna ,elephantiasis,łac,S%C5%82oniowacizna
brak,Spirometra erinaceieuropaei ,brak,brak,Spirometra_erinaceieuropaei
HMS,Zespół splenomegalii tropikalnej ,tropical splenomegaly syndrome,ang,Zesp%C3%B3%C5%82_splenomegalii_tropikalnej
brak,Surra ,evansi,Trypanosoma,Surra
brak,Ślepota rzeczna ,brak,onchocerkoza,%C5%9Alepota_rzeczna
brak,Śpiączka afrykańska,sleeping sickness,ang,%C5%9Api%C4%85czka_afryka%C5%84ska
brak,Tasiemczyca,tæniasis,łac,Tasiemczyca
brak,Teilerioza owiec ,ovium,theileriosis,Teilerioza_owiec
brak,Teileriozy ,brak,brak,Teileriozy
brak,Toksokaroza ,brak,toksokar,Toksokaroza
brak,Toksoplazmoza ,toxoplasmosis,łac,Toksoplazmoza
brak,Tracheliostoza ,brak,brak,Tracheliostoza
brak,Trichurioza ,brak,włosogłówczyca,Trichurioza
brak,Tropikalna teilerioza bydła ,brak,brak,Tropikalna_teilerioza_byd%C5%82a
brak,Trychomonadoza gołębi,brak,brak,Trychomonadoza_go%C5%82%C4%99bi
brak,Trypanosomoza lub synonimy,brak,brak,Trypanosomoza
brak,Tungiaza ,penetrans,Tunga,Tungoza
brak,Wągrzyca ,brak,cysticerkoza,W%C4%85grzyca
brak,Węgorczyca ,brak,strongyloidoza,W%C4%99gorczyca
brak,Włośnica,trichinosis,łac,W%C5%82o%C5%9Bnica_(choroba)
brak,Wszawica ,pediculosis,łac,Wszawica
brak,Wszołowica zwana inaczej malofagozą jest chorobą pasożytniczą zwierząt powodowaną przez owady z rzędu Phthiraptera nazywanymi tradycyjnie wszołami,brak,brak,Wszo%C5%82owica
XX,Zaraza stadnicza lub Dourine ,exanthema coitale paralyticum equorum,łac,Zaraza_stadnicza
brak,Zarażenie ,contaminatio,łac,Zara%C5%BCenie
brak,Zespół larwy skórnej wędrującej ,brak,łac,Zesp%C3%B3%C5%82_larwy_sk%C3%B3rnej_w%C4%99druj%C4%85cej
