akronim,fraza polska,fraza obca,język,kategorie,hasło_wikipedia
PML,Postępująca leukoencefalopatia wieloogniskowa,progressive multifocal leukoencephalopathy,ang.,"['Choroby układu nerwowego', 'Choroby wirusowe']",Post%C4%99puj%C4%85ca_leukoencefalopatia_wieloogniskowa
II,Zespół Ramsaya Hunta,Ramsay Hunt syndrome type II,ang.,"['Choroby wirusowe', 'Otologia', 'Zespoły chorobowe']",Zesp%C3%B3%C5%82_Ramsaya_Hunta
TSP,Tropikalna spastyczna parapareza,tropical spastic paraparesis,ang.,"['Choroby układu nerwowego', 'Choroby wirusowe']",Tropikalna_spastyczna_parapareza
CBPV,Wirus chronicznego paraliżu pszczół,Chronic bee paralysis virus – CBPV,ang.,"['Choroby i pasożyty pszczół', 'Choroby zakaźne zwierząt', 'Choroby wirusowe']",Wirus_chronicznego_parali%C5%BCu_pszcz%C3%B3%C5%82
ABPV,Wirus ostrego paraliżu pszczół,Acute bee paralysis virus – ABPV lub APV,ang.,"['Choroby i pasożyty pszczół', 'Choroby zakaźne zwierząt', 'Choroby wirusowe']",Wirus_ostrego_parali%C5%BCu_pszcz%C3%B3%C5%82
DWV,Wirus zdeformowanych skrzydeł,Deformed wing virus – DWV,ang.,"['Choroby i pasożyty pszczół', 'Choroby zakaźne zwierząt', 'Choroby wirusowe', 'Pikornawirusy']",Wirus_zdeformowanych_skrzyde%C5%82
SBV,Wirus ze Schmallenbergu,brak,brak,"['Choroby zakaźne zwierząt', 'Choroby przenoszone przez owady', 'Choroby wirusowe', 'Choroby owiec', 'Choroby bydła']",Wirus_ze_Schmallenbergu
EVA,Wirusowe zapalenie tętnic koni,brak,brak,"['Choroby koni', 'Choroby wirusowe']",Wirusowe_zapalenie_t%C4%99tnic_koni
MVE,Zapalenia mózgu doliny Murray,brak,brak,"['Choroby układu nerwowego', 'Choroby wirusowe']",Zapalenia_m%C3%B3zgu_doliny_Murray
ZGC ,Zespół Gianottiego-Crostiego,Gianotti–Crosti syndrome,ang.,"['Choroby skóry', 'Choroby wirusowe', 'Rzadkie choroby']",Zesp%C3%B3%C5%82_Gianottiego-Crostiego
AIDS ,Zespół nabytego niedoboru odporności,syndroma immunitatis defectus acquisiti,łac.,"['Dobre artykuły', 'HIV/AIDS', 'Choroby przenoszone drogą płciową', 'Choroby wirusowe', 'Niedobory odporności']",Zesp%C3%B3%C5%82_nabytego_niedoboru_odporno%C5%9Bci
CRS,Zespół różyczki wrodzonej,congenital rubella syndrome,ang.,"['Zespoły wad wrodzonych', 'Choroby wirusowe']",Zesp%C3%B3%C5%82_r%C3%B3%C5%BCyczki_wrodzonej
EC ,Neuraminidaza,brak,brak,"['Hydrolazy', 'Grypa']",Neuraminidaza
WZW ,Wirusowe zapalenie wątroby,hepatitis viralis,łac.,['Wirusowe zapalenia wątroby'],Wirusowe_zapalenie_w%C4%85troby
WHD,Światowy Dzień Wirusowego Zapalenia Wątroby,World Hepatitis Day,ang.,"['Konferencje i obchody ONZ', 'Wirusowe zapalenia wątroby', 'Dni świadomości problemów społecznych i chorób']",%C5%9Awiatowy_Dzie%C5%84_Wirusowego_Zapalenia_W%C4%85troby
WZW,Antygen HBs,brak,brak,"['Wirusowe zapalenia wątroby', 'Antygeny']",Antygen_HBs
WZW typu B,Wirusowe zapalenie wątroby typu B,brak,brak,"['Choroby przenoszone drogą płciową', 'Wirusowe zapalenia wątroby']",Wirusowe_zapalenie_w%C4%85troby_typu_B
WZW C,Wirusowe zapalenie wątroby typu C,brak,brak,['Wirusowe zapalenia wątroby'],Wirusowe_zapalenie_w%C4%85troby_typu_C
WZW typu E,Wirusowe zapalenie wątroby typu E,hepatitis E,ang.,['Wirusowe zapalenia wątroby'],Wirusowe_zapalenie_w%C4%85troby_typu_E
HAV ,Wirus zapalenia wątroby typu A,Hepatitis A Virus,ang.,"['Pikornawirusy', 'Wirusy zapalenia wątroby', 'Zapalenia wątroby']",Wirus_zapalenia_w%C4%85troby_typu_A
WZW B,Wirus zapalenia wątroby typu B,hepatitis B virus,ang.,"['Wirusy zapalenia wątroby', 'Hepadnawirusy', 'Karcynogeny']",Wirus_zapalenia_w%C4%85troby_typu_B
WZW C,Wirus zapalenia wątroby typu C,hepatitis C virus,ang.,"['Flawiwirusy', 'Wirusy zapalenia wątroby', 'Karcynogeny']",Wirus_zapalenia_w%C4%85troby_typu_C
HDV ,Wirus zapalenia wątroby typu D,Hepatitis D Virus,ang.,"['Wirusy zapalenia wątroby', 'Zapalenia wątroby', 'Wirusy RNA']",Wirus_zapalenia_w%C4%85troby_typu_D
HEV,Wirus zapalenia wątroby typu E,hepatitis E virus,ang.,"['Wirusy zapalenia wątroby', 'Zapalenia wątroby', 'Choroby przenoszone przez szczury', 'Wirusy RNA']",Wirus_zapalenia_w%C4%85troby_typu_E
AHF,Argentyńska gorączka krwotoczna,Argentine Hemorrhagic Fever,ang.,"['Gorączki krwotoczne', 'Choroby odzwierzęce']",Argenty%C5%84ska_gor%C4%85czka_krwotoczna
BHF,Boliwijska gorączka krwotoczna,Bolivian Hemorrhagic Fever,ang.,"['Gorączki krwotoczne', 'Choroby odzwierzęce']",Boliwijska_gor%C4%85czka_krwotoczna
EHF,Gorączka krwotoczna Ebola,Ebola hemorrhagic fever,ang.,"['Choroby odzwierzęce', 'Gorączki krwotoczne']",Gor%C4%85czka_krwotoczna_Ebola
HFRS,Gorączka krwotoczna z zespołem nerkowym,febris haemorrhagica cum nephropathia,łac.,"['Gorączki krwotoczne', 'Choroby przenoszone przez szczury']",Gor%C4%85czka_krwotoczna_z_zespo%C5%82em_nerkowym
RBDV,Krzaczasta karłowatość maliny – wirusowa choroba malin wywołana przez  wirusa o nazwie Raspberry bushy dwarf virus,brak,brak,"['Wirusowe choroby roślin', 'Choroby roślin sadowniczych']",Krzaczasta_kar%C5%82owato%C5%9B%C4%87_maliny
PPV,Ospowatość śliwy lub szarka śliwy – wirusowa choroba roślin wywołana przez wirus ospowatości śliwy,brak,brak,"['Wirusowe choroby roślin', 'Choroby roślin sadowniczych']",Ospowato%C5%9B%C4%87_%C5%9Bliwy
TBV,Pstrość kwiatów tulipana – choroba wirusowa roślin z rodziny liliowatych,brak,brak,['Wirusowe choroby roślin'],Pstro%C5%9B%C4%87_tulipana
BYV ,Żółtaczka buraka – choroba wirusowa buraków cukrowych,brak,brak,['Wirusowe choroby roślin'],%C5%BB%C3%B3%C5%82taczka_buraka
