akronim,fraza polska,fraza obca,język,hasło_wikipedia
EHF,Gorączka krwotoczna Ebola,Ebola hemorrhagic fever,ang.,Gor%C4%85czka_krwotoczna_Ebola
HFRS,Gorączka krwotoczna z zespołem nerkowym,febris haemorrhagica cum nephropathia,łac.,Gor%C4%85czka_krwotoczna_z_zespo%C5%82em_nerkowym
EC ,Neuraminidaza,brak,brak,Neuraminidaza
GAE,Akantameboza – rzadka choroba pasożytnicza,brak,brak,Akantameboza
HMS,Zespół splenomegalii tropikalnej,tropical splenomegaly syndrome,ang.,Zesp%C3%B3%C5%82_splenomegalii_tropikalnej
BV,Bakteryjne zapalenie pochwy,bacterial vaginosis,ang.,Bakteryjne_zapalenie_pochwy
HPV,Wirus brodawczaka ludzkiego,brak,brak,Wirus_brodawczaka_ludzkiego
WZW typu B,Wirusowe zapalenie wątroby typu B,brak,brak,Wirusowe_zapalenie_w%C4%85troby_typu_B
", AIDS ",Zespół nabytego niedoboru odporności,syndroma immunitatis defectus acquisiti,łac.,Zesp%C3%B3%C5%82_nabytego_niedoboru_odporno%C5%9Bci
HFRS,Gorączka krwotoczna z zespołem nerkowym,febris haemorrhagica cum nephropathia,łac.,Gor%C4%85czka_krwotoczna_z_zespo%C5%82em_nerkowym
HEV,Wirus zapalenia wątroby typu E,hepatitis E virus,ang.,Wirus_zapalenia_w%C4%85troby_typu_E
AHS,Afrykański pomór koni,Pestis equorum,łac.,Afryka%C5%84ski_pom%C3%B3r_koni
ASF,Afrykański pomór świń,Pestis africana suum,łac.,Afryka%C5%84ski_pom%C3%B3r_%C5%9Bwi%C5%84
HMS,Zespół splenomegalii tropikalnej,tropical splenomegaly syndrome,ang.,Zesp%C3%B3%C5%82_splenomegalii_tropikalnej
SBV,Wirus ze Schmallenbergu,brak,brak,Wirus_ze_Schmallenbergu
", EMB ",Etambutol,Ethambutolum,łac.,Etambutol
INH,Izoniazyd,Isoniazidum,łac.,Izoniazyd
", PAS ",Kwas p-aminosalicylowy,brak,brak,Kwas_p-aminosalicylowy
INN,Ryfampicyna,brak,brak,Ryfampicyna
TB,Gruźlica,tuberculosis,łac.,Gru%C5%BAlica_cz%C5%82owieka
", PPD ",Próba tuberkulinowa Mantoux,brak,brak,Pr%C3%B3ba_tuberkulinowa_Mantoux
TB,Światowy Dzień Gruźlicy,World Tuberculosis Day lub World TB Day,ang.,%C5%9Awiatowy_Dzie%C5%84_Gru%C5%BAlicy
IGRA,Testy wydzielania interferonu gamma,interferon-γ release assays,ang.,Testy_wydzielania_interferonu_gamma
WD,Choroba Whipple,Whipple,ang.,Choroba_Whipple%E2%80%99a
GMSPS,Glasgow Meningococcal Septicemia Prognostic Score,brak,brak,Glasgow_Meningococcal_Septicemia_Prognostic_Score
BPF,Gorączka plamicowa brazylijska,Brazilian purpuric fever,ang.,Gor%C4%85czka_plamicowa_brazylijska
HME,Ludzka erlichioza monocytarna,brak,brak,Ludzka_erlichioza_monocytarna
NF,Martwicze zapalenie powięzi,necrotizing fasciitis,ang.,Martwicze_zapalenie_powi%C4%99zi
NTM ,Mykobakterioza,Mycobacterium,łac.,Mykobakterioza
ZJ,Rzekomobłoniaste zapalenie jelit,enterocolitis pseudomembranacea,łac.,Rzekomob%C5%82oniaste_zapalenie_jelit
HD,Trąd,brak,brak,Tr%C4%85d
PCP,Pneumocystoza,pneumocystosis,łac.,Pneumocystoza
CJD,Choroba Creutzfeldta-Jakoba,Creutzfeldt-Jakob disease,ang.,Choroba_Creutzfeldta-Jakoba
BSE,Gąbczasta encefalopatia bydła,Bovine Spongiform Encephalopathy,ang.,G%C4%85bczasta_encefalopatia_byd%C5%82a
CWD,Przewlekła choroba wyniszczająca,chronic wasting disease,ang.,Przewlek%C5%82a_choroba_wyniszczaj%C4%85ca
FFI,Śmiertelna bezsenność rodzinna,fatal familial insomnia,ang.,%C5%9Amiertelna_bezsenno%C5%9B%C4%87_rodzinna
GSS,Zespół Gerstmanna-Sträusslera-Scheinkera,brak,brak,Zesp%C3%B3%C5%82_Gerstmanna-Str%C3%A4usslera-Scheinkera
", EC ",3-metylokrotonyloglicynuria – rzadkie,brak,brak,3-metylokrotonyloglicynuria
AGS,Zespół Alagille,Alagille syndrome,ang.,Zesp%C3%B3%C5%82_Alagille%E2%80%99a
AI,Amelogenesis imperfecta,amelogenesis imperfecta,ang.,Amelogenesis_imperfecta
PHA,Anomalia Pelgera-Huëta,Pelger-Huët anomaly,ang.,Anomalia_Pelgera-Hueta
ARVC,Arytmogenna kardiomiopatia prawej komory,arrhythmogenic right ventricular cardiomyopathy,ang.,Arytmogenna_kardiomiopatia_prawej_komory
CHARGE,Asocjacja CHARGE,brak,brak,Asocjacja_CHARGE
SCA,Ataksja rdzeniowo-móżdżkowa,spinocerebellar ataxia,ang.,Ataksja_rdzeniowo-m%C3%B3%C5%BCd%C5%BCkowa
MVID,Atrofia mikrokosmków,microvillous inclusion disease,ang.,Atrofia_mikrokosmk%C3%B3w
APECED,Autoimmunologiczny zespół niedoczynności wielogruczołowej typu 1,autoimmune polyendocrine syndrome type 1,ang.,Autoimmunologiczny_zesp%C3%B3%C5%82_niedoczynno%C5%9Bci_wielogruczo%C5%82owej_typu_1
APS,Autoimmunologiczny zespół niedoczynności wielogruczołowej typu 2,autoimmune polyglandular syndrome type 2,ang.,Autoimmunologiczny_zesp%C3%B3%C5%82_niedoczynno%C5%9Bci_wielogruczo%C5%82owej_typu_2
", PDD ",Całościowe zaburzenie rozwoju,pervasive developmental disorder,ang.,Ca%C5%82o%C5%9Bciowe_zaburzenie_rozwoju
CED,Choroba Camuratiego-Engelmanna,Camurati–Engelmann disease,ang.,Choroba_Camuratiego-Engelmanna
CHS,Zespół Chediaka-Higashiego,Chediak-Higashi syndrome,ang.,Zesp%C3%B3%C5%82_Chediaka-Higashiego
CCD,Choroba central core,central core disease,ang.,Choroba_central_core
HMSN,Choroba Charcota-Mariego-Tootha,hereditary motor and sensory neuropathy,ang.,Choroba_Charcota-Mariego-Tootha
HMSN,Choroba Charcota-Mariego-Tootha typu 1A,hereditary motor and sensory neuropathy,ang.,Choroba_Charcota-Mariego-Tootha_typu_1A
HMSN I ,Choroba Charcota,Hereditary Motor and Sensory Neuropathy,ang.,Choroba_Charcota-Mariego-Tootha_typu_1C
CJD,Choroba Creutzfeldta-Jakoba,Creutzfeldt-Jakob disease,ang.,Choroba_Creutzfeldta-Jakoba
DAR,Choroba Dariera,keratosis follicularis,łac.,Choroba_Dariera
EC ,Choroba Fabry,brak,brak,Choroba_Fabry%E2%80%99ego
", GSD VI ",Choroba Hersa,brak,brak,Choroba_Hersa
CLN,Choroba Jansky,Jansky-Bielschowsky disease,ang.,Choroba_Jansky%E2%80%99ego-Bielschowsky%E2%80%99ego
SBMA,Choroba Kennedy,Kennedy,ang.,Choroba_Kennedy%E2%80%99ego
CLN,Choroba Kufsa,Kufs,ang.,Choroba_Kufsa
LDD,Choroba Lhermitte,Lhermitte-Duclos disease,ang.,Choroba_Lhermitte%E2%80%99a-Duclos
", GSD V ",Choroba McArdle,brak,brak,Choroba_McArdle%E2%80%99a
PLOSL,Choroba Nasu-Hakoli,polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,ang.,Choroba_Nasu-Hakoli
", PD ",Choroba Parkinsona,morbus Parkinsoni,łac.,Choroba_Parkinsona
ORW,Choroba Rendu-Oslera-Webera,hereditary hemorrhagic telangiectasia,ang.,Choroba_Rendu-Oslera-Webera
CLN,Choroba Santavuoriego-Haltii ,Santavuori-Haltia disease,ang.,Choroba_Santavuoriego-Haltii
CLN,Choroba Spielmeyera-Vogta-Sjögrena ,Spielmayer-Vogt-Sjögren disease,ang.,Choroba_Spielmeyera-Vogta-Sj%C3%B6grena
STGD,Choroba Stargardta,fundus flavimaculatus,łac.,Choroba_Stargardta
HDL,Choroba tangierska,brak,brak,Choroba_tangierska
VII,Choroba Taruiego,brak,brak,Choroba_Taruiego
VBCH,Choroba van Buchema,hyperostosis corticalis generalisata,łac.,Choroba_van_Buchema
CCMS,Zespół mózgowo-żebrowo-żuchwowy,cerebro-costo-mandibular syndrome,ang.,Zesp%C3%B3%C5%82_m%C3%B3zgowo-%C5%BCebrowo-%C5%BCuchwowy
LS,"
Zespół Cornelii de Lange",Cornelia de Lange Syndrome,ang.,Zesp%C3%B3%C5%82_Cornelii_de_Lange
FCS,Zespół Costello,syndroma Costello,łac.,Zesp%C3%B3%C5%82_Costello
DI,Dentinogenesis imperfecta,dentinogenesis imperfecta,ang.,Dentinogenesis_imperfecta
DS,Zespół Duane,Duane ,ang.,Zesp%C3%B3%C5%82_Duane%E2%80%99a
LWD,Dyschondrosteoza Lériego-Weilla,brak,brak,Dyschondrosteoza_L%C3%A9riego-Weilla
CCD,Dysplazja obojczykowo-czaszkowa,cleidocranial dysplasia,ang.,Dysplazja_obojczykowo-czaszkowa
CHH,Zespół McKusicka,metaphyseal chondrodysplasia,ang.,Dysplazja_przynasadowa_McKusicka
SEMD,Dysplazje kręgosłupowo-nasadowe,spondyloepimetaphyseal dysplasias,ang.,Dysplazje_kr%C4%99gos%C5%82upowo-nasadowe
EOTD,Dystonia torsyjna typu 1,early onset torsion dystonia,ang.,Dystonia_torsyjna_typu_1
CDB,Dystrofia Thiela-Behnkego,Behnke-Thiel dystrophy,ang.,Dystrofia_Thiela-Behnkego
HCP,Dziedziczna koproporfiria,Hereditary Coproporphyria – HCP,ang.,Dziedziczna_koproporfiria
HLRCC,Dziedziczne mięśniaki gładkokomórkowe i rak nerkowokomórkowy,syndrome of leiomyomatosis and renal cell carcinoma,ang.,Dziedziczna_mi%C4%99%C5%9Bniakowato%C5%9B%C4%87_g%C5%82adkokom%C3%B3rkowa_i_rak_nerkowokom%C3%B3rkowy
HSAN,Dziedziczne neuropatie czuciowe i autonomiczne,hereditary sensory and autonomic neuropathies,ang.,Dziedziczne_neuropatie_czuciowe_i_autonomiczne
EV,Epidermodysplasia verruciformis,Lewandowsky-Lutz dysplasia,ang.,Epidermodysplasia_verruciformis
EPSTNS,Zespół Epsteina,syndroma Epstein,łac.,Zesp%C3%B3%C5%82_Epsteina
FBS,Zespół Fanconiego-Bickela,Fanconi-Bickel syndrome,ang.,Zesp%C3%B3%C5%82_Fanconiego-Bickela
FRNS,Zespół Frynsa,syndroma Fryns ang,łac.,Zesp%C3%B3%C5%82_Frynsa
GRBGD,Dysplazja Greenberg,Greenberg dysplasia,ang.,Dysplazja_Greenberg
", IX ",Hemofilie,haemophilia,łac.,Hemofilia
HYPP,Hiperkaliemiczne porażenie okresowe,hyperkalemic periodic paralysis,ang.,Hiperkaliemiczne_pora%C5%BCenie_okresowe
HED,Hipohydrotyczna dysplazja ektodermalna,hypohidrotic ectodermal dysplasia,ang.,Hipohydrotyczna_dysplazja_ektodermalna
HHS,Zespół Høyeraala-Hreiðarssona,brak,brak,Zesp%C3%B3%C5%82_H%C3%B8yeraala-Hrei%C3%B0arssona
JBS,Zespół Johanson-Blizzarda,syndroma Johanson,łac.,Zesp%C3%B3%C5%82_Johanson-Blizzarda
KMS,Zespół Kabuki typu 2,Kabuki syndrome,ang.,Zesp%C3%B3%C5%82_Kabuki
CCHS,Klątwa Ondyny,Ondine,ang.,Kl%C4%85twa_Ondyny
OMIM ,Letalna chondrodysplazja Blomstranda,Blomstrand type chondrodysplasia,ang.,Letalna_chondrodysplazja_Blomstranda
OMIM ,Leukoencefalopatia z zanikającą istotą białą,leukoencephalopathy with vanishing white matter,ang.,Leukoencefalopatia_z_zanikaj%C4%85c%C4%85_istot%C4%85_bia%C5%82%C4%85
", OMIM ",Mendelian Inheritance in Man,brak,brak,Mendelian_Inheritance_in_Man
MEN,Mnoga gruczolakowatość wewnątrzwydzielnicza typu 2,multiple endocrine neoplasia type 2,ang.,Mnoga_gruczolakowato%C5%9B%C4%87_wewn%C4%85trzwydzielnicza_typu_2
IV,Zespół Morquia,Morquio syndrome,ang.,Zesp%C3%B3%C5%82_Morquio
UDA,Zespół Muckle,syndroma Muckle,łac.,Zesp%C3%B3%C5%82_Muckle%E2%80%99a-Wellsa
MPS,Mukopolisacharydoza,brak,brak,Mukopolisacharydoza
NAFD,Zespół Nagera,syndroma Nager,łac.,Zesp%C3%B3%C5%82_Nagera
MPS,Zespół Natowicza,syndroma Natowicz,łac.,Zesp%C3%B3%C5%82_Natowicza
NPH,Nefronoftyza,nephronophtisis,łac.,Nefronoftyza
OMIM,Neuroakantocytoza – rzadka choroba neurologiczna o podłożu genetycznym,brak,brak,Neuroakantocytoza
PKAN,Neurodegeneracja związana z kinazą pantotenianu,panthotenate kinase-associated neurodegeneration,ang.,Neurodegeneracja_zwi%C4%85zana_z_kinaz%C4%85_pantotenianu
LCHAD,Niedobór dehydrogenazy 3-hydroksyacylo-koenzymu A długołańcuchowych kwasów tłuszczowych,long-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency,ang.,Niedob%C3%B3r_dehydrogenazy_3-hydroksyacylo-koenzymu_A_d%C5%82ugo%C5%82a%C5%84cuchowych_kwas%C3%B3w_t%C5%82uszczowych
TPI,Niedobór izomerazy fosfotriozowej,triose phosphate isomerase deficiency,ang.,Niedob%C3%B3r_izomerazy_fosfotriozowej
OMIM ,Niedobór kofaktora molibdenowego,molybdenum cofactor deficiency,ang.,Niedob%C3%B3r_kofaktora_molibdenowego
MPO,Niedobór mieloperoksydazy – rzadkie genetycznie uwarunkowane schorzenie polegające na niedoborze występującego w neutrofilach enzymu mieloperoksydazy,brak,brak,Niedob%C3%B3r_mieloperoksydazy
EC ,Niedobór syntazy 6-pirogronianotetrahydropteryny – rzadka choroba genetyczna spowodowana mutacją w genie PTS kodującym enzym syntazę 6-pirogronianotetrahydropteryny,brak,brak,Niedob%C3%B3r_syntazy_6-pirogronianotetrahydropteryny
II,Niedobór syntazy metioninowej,methionine synthase deficiency,ang.,Niedob%C3%B3r_syntazy_metioninowej
", GCSH ",Nieketonowa hiperglicynemia,nonketotic hyperglycinemia,ang.,Nieketonowa_hiperglicynemia
LVNC,Niescalony mięsień lewej komory,noncompaction cardiomyopathy,ang.,Niescalony_mi%C4%99sie%C5%84_lewej_komory
MULIBREY,Niskorosłość MULIBREY,brak,brak,Niskoros%C5%82o%C5%9B%C4%87_MULIBREY
ACHOO,Odruch kichania spowodowany światłem słonecznym,brak,brak,Odruch_kichania_spowodowany_%C5%9Bwiat%C5%82em_s%C5%82onecznym
FCD,Ogniskowa dysplazja korowa,focal cortical dysplasia,ang.,Ogniskowa_dysplazja_korowa
", DLB ",Otępienie z ciałami Lewy,dementia with Lewy bodies,ang.,Ot%C4%99pienie_z_cia%C5%82ami_Lewy%E2%80%99ego
", PJS ",Zespół Peutza-Jeghersa,Peutz–Jeghers syndrome,ang.,Zesp%C3%B3%C5%82_Peutza-Jeghersa
PID,Pierwotne niedobory odporności,Primary Immune Deficiency,ang.,Pierwotne_niedobory_odporno%C5%9Bci
JPS,Polipowatość młodzieńcza,juvenile polyposis syndrome,ang.,Polipowato%C5%9B%C4%87_m%C5%82odzie%C5%84cza
FOP,Postępujące kostniejące zapalenie mięśni,fibrodysplasia ossificans progressiva,ang.,Post%C4%99puj%C4%85ce_kostniej%C4%85ce_zapalenie_mi%C4%99%C5%9Bni
PSP,Postępujące porażenie nadjądrowe,paralysis supranuclearis progressiva,łac.,Post%C4%99puj%C4%85ce_pora%C5%BCenie_nadj%C4%85drowe
AME,Pozorny nadmiar mineralokortykoidów,Apparent Mineralocorticoid Excess,ang.,Pozorny_nadmiar_mineralokortykoid%C3%B3w
HGPS,Progeria,progeria,łac.,Progeria
EPP,Protoporfiria erytropoetyczna,protoporphyria erythropoietica,łac.,Protoporfiria_erytropoetyczna
BOR,Zespół przyległych genów BOR-zespół Duane,brak,brak,Zesp%C3%B3%C5%82_przyleg%C5%82ych_gen%C3%B3w_BOR-zesp%C3%B3%C5%82_Duane%E2%80%99a-wodog%C5%82owie
TORCH,Zespół pseudo-TORCH,pseudo-TORCH syndrome,ang.,Zesp%C3%B3%C5%82_pseudo-TORCH
SMA,Rdzeniowy zanik mięśni,spinal muscular atrophy,ang.,Rdzeniowy_zanik_mi%C4%99%C5%9Bni
CAA,Dziedziczne angiopatie amyloidowe,cerebral amyloid angiopathy,ang.,Rodzinna_angiopatia_amyloidowa
FAP,Rodzinna polipowatość gruczolakowata,familial adenomatous polyposis,ang.,Rodzinna_polipowato%C5%9B%C4%87_gruczolakowata
PHP,Rzekoma niedoczynność przytarczyc,pseudohypoparathyroidismus,łac.,Rzekoma_niedoczynno%C5%9B%C4%87_przytarczyc
SCID,Zespół SCID,severe combined immunodeficiency,ang.,Zesp%C3%B3%C5%82_SCID
BOR,Zespół skrzelowo-uszno-nerkowy,branchio-oto-renal syndrome,ang.,Zesp%C3%B3%C5%82_skrzelowo-uszno-nerkowy
MPSVII,Zespół Slya,syndroma Sly,łac.,Zesp%C3%B3%C5%82_Slya
", TSC ",Stwardnienie guzowate,sclerosis tuberosa,łac.,Stwardnienie_guzowate
SLA,Stwardnienie zanikowe boczne,sclerosis lateralis amyotrophica ,łac.,Stwardnienie_zanikowe_boczne
SPD,Synpolidaktylia typu 1,synpolydactyly-1,ang.,Synpolidaktylia_typu_1
FFI,Śmiertelna bezsenność rodzinna,fatal familial insomnia,ang.,%C5%9Amiertelna_bezsenno%C5%9B%C4%87_rodzinna
TTD,Trichotiodystrofia,trichothiodystrophy,ang.,Trichotiodystrofia
XXX,Trisomia chromosomu X,brak,brak,Trisomia_chromosomu_X
CPVT,Wielokształtny częstoskurcz komorowy zależny od katecholamin,Catecholaminergic Polymorphic Ventricular Tachycardia,ang.,Wielokszta%C5%82tny_cz%C4%99stoskurcz_komorowy_zale%C5%BCny_od_katecholamin
PKD,Wielotorbielowatość nerek,degeneratio polycystica renum,łac.,Wielotorbielowato%C5%9B%C4%87_nerek
WD,Choroba von Willebranda,morbus von Willebrandi,łac.,Choroba_von_Willebranda
OI,Wrodzona łamliwość kości,osteogenesis imperfecta,łac.,Wrodzona_%C5%82amliwo%C5%9B%C4%87_ko%C5%9Bci
CIPA,Wrodzona obojętność na ból z anhydrozą,congenital insensitivity to pain with anhidrosis,ang.,Wrodzona_oboj%C4%99tno%C5%9B%C4%87_na_b%C3%B3l_z_anhydroz%C4%85
LCA,Wrodzona ślepota Lebera,Leber congenital amaurosis,ang.,Wrodzona_%C5%9Blepota_Lebera
PC,Wrodzone zgrubienie paznokci,pachyonychia congenita,łac.,Wrodzone_zgrubienie_paznokci
DRPLA,Zanik jądra zębatego,dentatorubral-pallidoluysian atrophy,ang.,"Zanik_j%C4%85dra_z%C4%99batego,_j%C4%85dra_czerwiennego,_ga%C5%82ki_bladej_i_j%C4%85dra_niskowzg%C3%B3rzowego"
PTEN,Zespoły guzów hamartomatycznych związane z mutacjami PTEN,brak,brak,Zespo%C5%82y_guz%C3%B3w_hamartomatycznych_zwi%C4%85zane_z_mutacjami_PTEN
AAS,Zespół Aarskoga,Aarskog-Scott syndrome,ang.,Zesp%C3%B3%C5%82_Aarskoga
AAA,Zespół Allgrove,Allgrove,ang.,Zesp%C3%B3%C5%82_Allgrove%E2%80%99a
", AS ",Zespół Angelmana,Angelman syndrome,ang.,Zesp%C3%B3%C5%82_Angelmana
AEG,Zespół anoftalmiczno-przełykowo-genitalny,Rogers,ang.,Zesp%C3%B3%C5%82_anoftalmiczno-prze%C5%82ykowo-genitalny
ABS,Zespół Antleya-Bixlera,Antley-Bixler syndrome,ang.,Zesp%C3%B3%C5%82_Antleya-Bixlera
ARS,Zespół Axenfelda-Riegera,Axenfeld-Rieger syndrome,ang.,Zesp%C3%B3%C5%82_Axenfelda-Riegera
BRRS,Zespół Bannayana-Rileya-Ruvalcaby,Bannayan-Riley-Ruvalcaba syndrome,ang.,Zesp%C3%B3%C5%82_Bannayana-Rileya-Ruvalcaby
HDR,Zespół Barakata,Barakat syndrome,ang.,Zesp%C3%B3%C5%82_Barakata
BBS,Zespół Bardeta-Biedla,Bardet-Biedl syndrome,ang.,Zesp%C3%B3%C5%82_Bardeta-Biedla
BWS,Zespół Beckwitha-Wiedemanna,Beckwith-Wiedemann syndrome,ang.,Zesp%C3%B3%C5%82_Beckwitha-Wiedemanna
BHD,Zespół Birt-Hogg-Dubé,Birt-Hogg-Dubé syndrome,ang.,Zesp%C3%B3%C5%82_Birt-Hogg-Dub%C3%A9
PTD,Zespół Bjørnstada,pili torti,łac.,Zesp%C3%B3%C5%82_Bj%C3%B8rnstada
BS,Zespół Blaua,Blau syndrome,ang.,Zesp%C3%B3%C5%82_Blaua
BFLS,Zespół Börjesona-Forssmana-Lehmana,brak,brak,Zesp%C3%B3%C5%82_B%C3%B6rjesona-Forssmana-Lehmana
CHILD,Zespół CHILD,brak,brak,Zesp%C3%B3%C5%82_CHILD
CNS,Zespół Criglera-Najjara,Crigler-Najjar syndrome,ang.,Zesp%C3%B3%C5%82_Criglera-Najjara
DDS,Zespół Denysa i Drasha,Denys-Drash syndrome,ang.,Zesp%C3%B3%C5%82_Denysa-Drasha
MAE,Zespół Doose – miokloniczno-astatyczna padaczka oraz,brak,brak,Zesp%C3%B3%C5%82_Doose
SMEI,Zespół Dravet,severe myoclonic epilepsy of infancy,ang.,Zesp%C3%B3%C5%82_Dravet
DMC,Zespół Dyggve-Melchiora-Clausena,Dyggve-Melchior-Clausen syndrome,ang.,Zesp%C3%B3%C5%82_Dyggve-Melchiora-Clausena
XDP,Zespół dystonia-parkinsonizm,brak,brak,Zesp%C3%B3%C5%82_dystonia-parkinsonizm
EEC,Zespół EEC,Ectrodactyly-Ectodermal Dysplasia-Clefting ,ang.,Zesp%C3%B3%C5%82_EEC
", EDS ",Zespół Ehlersa-Danlosa,Ehlers-Danlos syndrome,ang.,Zesp%C3%B3%C5%82_Ehlersa-Danlosa
FSS,Zespół Freemana-Sheldona,dysplasia craniocarpotarsalis,łac.,Zesp%C3%B3%C5%82_Freemana-Sheldona
GRACILE,Zespół GRACILE,brak,brak,Zesp%C3%B3%C5%82_GRACILE
CPSG,Zespół Greiga,Greig cephalopolysyndactyly syndrome,ang.,Zesp%C3%B3%C5%82_Greiga
HWS,Zespół Haya-Wellsa,Hay-Wells syndrome,ang.,Zesp%C3%B3%C5%82_Haya-Wellsa
HUS,Zespół hemolityczno-mocznicowy,haemolytic-uraemic syndrome,ang.,Zesp%C3%B3%C5%82_hemolityczno-mocznicowy
HPS,Zespół Hermanskiego i Pudlaka,Hermansky-Pudlak syndrome,ang.,Zesp%C3%B3%C5%82_Hermanskiego-Pudlaka
HIES,Zespół Hioba,hyper-IgE syndrome,ang.,Zesp%C3%B3%C5%82_Hioba
HOS,Zespół Holt-Orama,Holt-Oram syndrome,ang.,Zesp%C3%B3%C5%82_Holt-Orama
ICF,Zespół ICF,immunodeficiency,ang.,Zesp%C3%B3%C5%82_ICF
IGS,Zespół Imerslund-Gräsbecka,Imerslund-Gräsbeck syndrome,ang.,Zesp%C3%B3%C5%82_Imerslund-Gr%C3%A4sbecka
IPEX,Zespół IPEX,immunodysregulation polyendocrinopathy enteropathy X-linked syndrome,ang.,Zesp%C3%B3%C5%82_IPEX
EA,Zespół Isaacsa-Mertensa,Isaacs-Mertens syndrome,ang.,Zesp%C3%B3%C5%82_Isaacsa-Mertensa
JWS,Zespół Jacksona i Weissa,Jackson-Weiss syndrome,ang.,Zesp%C3%B3%C5%82_Jacksona-Weissa
JBS,Zespół Jacobsena,Jacobsen syndrome,ang.,Zesp%C3%B3%C5%82_Jacobsena
JLNS,Zespół Jervella i Lang-Nielsena,Jervell and Lange-Nielsen syndrome,ang.,Zesp%C3%B3%C5%82_Jervella_i_Lange-Nielsena
KBG,Zespół KBG,brak,brak,Zesp%C3%B3%C5%82_KBG
KTWS,Zespół Klippla i Trénaunaya,Klippel Trenaunay Weber syndrome,ang.,Zesp%C3%B3%C5%82_Klippla-Tr%C3%A9naunaya
SQT,Zespół krótkiego QT,short QT syndrome,ang.,Zesp%C3%B3%C5%82_kr%C3%B3tkiego_QT
LEOPARD,Zespół LEOPARD,brak,brak,Zesp%C3%B3%C5%82_LEOPARD
